"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Retrieve a user successfully","","","unknown","","","Get User API","",""
"","","Create user (example #1)","","","unknown","","","Reqres API CRUD operations","",""
"","381","Create user (example #3)","","Tue Jun 17 17:52:06 IST 2025","failed","Tue Jun 17 17:52:06 IST 2025","","Reqres API CRUD operations","",""
"","","Create multiple activities with different names and jobs (example #1)","","","unknown","","","Create multiple activities API","",""
"","","Create user (example #1)","","","unknown","","","Reqres API CRUD operations","",""
"","","Oops...we found an error preparing this test file: createMultipleUser.feature","","","broken","","","createMultipleUser.feature","",""
"","27","An uncaught error was detected outside of a test","","Fri Jun 13 18:39:23 IST 2025","failed","Fri Jun 13 18:39:23 IST 2025","","","",""
"","593","Get user by ID (example #1)","","Tue Jun 17 17:52:18 IST 2025","failed","Tue Jun 17 17:52:18 IST 2025","","Reqres API CRUD operations","",""
"","674","Get user by ID (example #2)","","Tue Jun 17 17:52:20 IST 2025","failed","Tue Jun 17 17:52:21 IST 2025","","Reqres API CRUD operations","",""
"","","Create user (example #1)","","","unknown","","","Reqres API CRUD operations","",""
"","408","Update user (example #2)","","Tue Jun 17 17:52:11 IST 2025","passed","Tue Jun 17 17:52:12 IST 2025","","Reqres API CRUD operations","",""
"","325","Create user (example #1)","","Tue Jun 17 17:52:00 IST 2025","failed","Tue Jun 17 17:52:00 IST 2025","","Reqres API CRUD operations","",""
"","","Oops...we found an error preparing this test file: createUser.feature","","","broken","","","createUser.feature","",""
"","","Oops...we found an error preparing this test file: createMultipleActivities.feature","","","broken","","","createMultipleActivities.feature","",""
"","","Create multiple activities with different names and jobs (example #1)","","","unknown","","","Create multiple activities API","",""
"","563","Create user (example #2)","","Tue Jun 17 17:52:02 IST 2025","failed","Tue Jun 17 17:52:03 IST 2025","","Reqres API CRUD operations","",""
"","532","Retrieve a user successfully","","Tue Jun 17 17:52:29 IST 2025","failed","Tue Jun 17 17:52:29 IST 2025","","Get User API","",""
"","421","Update user (example #1)","","Tue Jun 17 17:52:09 IST 2025","passed","Tue Jun 17 17:52:10 IST 2025","","Reqres API CRUD operations","",""
"","63","Prints logs","","Tue Jun 17 17:51:37 IST 2025","passed","Tue Jun 17 17:51:37 IST 2025","","Smoke Test","",""
"","398","Create multiple activities with different names and jobs (example #1)","","Tue Jun 17 17:51:24 IST 2025","failed","Tue Jun 17 17:51:24 IST 2025","","Create multiple activities API","",""
"","847","Create user with different names and jobs (example #1)","","Tue Jun 17 17:51:40 IST 2025","failed","Tue Jun 17 17:51:41 IST 2025","","Create User API","",""
"","","Retrieve a user successfully","","","unknown","","","Get User API","",""
"","690","Create user with different names and jobs (example #2)","","Tue Jun 17 17:51:42 IST 2025","failed","Tue Jun 17 17:51:43 IST 2025","","Create User API","",""
"","","Oops...we found an error preparing this test file: getMultipleUsers.feature","","","broken","","","getMultipleUsers.feature","",""
"","","Create multiple activities with different names and jobs (example #1)","","","unknown","","","Create multiple activities API","",""
"","","Oops...we found an error preparing this test file: crudOp.feature","","","broken","","","crudOp.feature","",""
"","401","Create multiple activities with different names and jobs (example #2)","","Tue Jun 17 17:51:26 IST 2025","failed","Tue Jun 17 17:51:26 IST 2025","","Create multiple activities API","",""
"","289","Create multiple activities with different names and jobs (example #3)","","Tue Jun 17 17:51:28 IST 2025","failed","Tue Jun 17 17:51:28 IST 2025","","Create multiple activities API","",""
"","465","User is created successfully","","Tue Jun 17 17:51:52 IST 2025","passed","Tue Jun 17 17:51:53 IST 2025","","Create a new user via API","",""
"","789","Create user with different names and jobs (example #3)","","Tue Jun 17 17:51:45 IST 2025","failed","Tue Jun 17 17:51:45 IST 2025","","Create User API","",""
"","","Oops...we found an error preparing this test file: crudOp.feature","","","broken","","","crudOp.feature","",""
"","470","Delete user (example #2)","","Tue Jun 17 17:52:16 IST 2025","passed","Tue Jun 17 17:52:16 IST 2025","","Reqres API CRUD operations","",""
"","456","Delete user (example #1)","","Tue Jun 17 17:52:13 IST 2025","passed","Tue Jun 17 17:52:14 IST 2025","","Reqres API CRUD operations","",""
